=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     ADDER    Jul 29 08:53:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     182 (182) (0 property flop bits)   4 (4)     3394 (3394)   6920   13      1648        950             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[508]   U1096.ZN                                        Dangerous
[509]   U1097.A1                                        Dangerous
[510]   U1097.A2                                        Dangerous
[511]   U1097.ZN                                        Dangerous
[512]   U1097.i_12                                      Dangerous
[513]   U1098.A1                                        Dangerous
[514]   U1098.A2                                        Dangerous
[515]   U1098.B                                         Dangerous
[516]   U1098.ZN                                        Dangerous
[517]   U1098.i_0                                       Dangerous
[518]   U1098.i_1                                       Dangerous
[519]   U1099.A1                                        Dangerous
[520]   U1099.A2                                        Dangerous
[521]   U1099.ZN                                        Dangerous
[522]   U1099.i_12                                      Dangerous
[523]   U1100.A1                                        Dangerous
[524]   U1100.A2                                        Dangerous
[525]   U1100.ZN                                        Dangerous
[526]   U1100.i_12                                      Dangerous
[527]   U1101.A1                                        Dangerous
[528]   U1101.A2                                        Dangerous
[529]   U1101.ZN                                        Dangerous
[530]   U1101.i_24                                      Dangerous
[531]   U1102.A1                                        Dangerous
[532]   U1102.A2                                        Dangerous
[533]   U1102.B                                         Dangerous
[534]   U1102.ZN                                        Dangerous
[535]   U1102.i_0                                       Dangerous
[536]   U1102.i_1                                       Dangerous
[537]   U1103.A1                                        Dangerous
[538]   U1103.A2                                        Dangerous
[539]   U1103.Z                                         Dangerous
[540]   U1103.i_18                                      Dangerous
[541]   U1103.i_19                                      Dangerous
[542]   U1103.i_20                                      Dangerous
[543]   U1103.i_21                                      Dangerous
[544]   U1104.I                                         Dangerous
[545]   U1104.ZN                                        Dangerous
[546]   U1105.A1                                        Dangerous
[547]   U1105.A2                                        Dangerous
[548]   U1105.B1                                        Dangerous
[549]   U1105.B2                                        Dangerous
[550]   U1105.ZN                                        Dangerous
[551]   U1105.i_0                                       Dangerous
[552]   U1105.i_1                                       Dangerous
[553]   U1105.i_2                                       Dangerous
[554]   U1106.A1                                        Dangerous
[555]   U1106.A2                                        Dangerous
[556]   U1106.ZN                                        Dangerous
[557]   U1106.i_12                                      Dangerous
[558]   U1107.A1                                        Dangerous
[559]   U1107.A2                                        Dangerous
[560]   U1107.B                                         Dangerous
[561]   U1107.ZN                                        Dangerous
[562]   U1107.i_0                                       Dangerous
[563]   U1107.i_1                                       Dangerous
[564]   U1108.A1                                        Dangerous
[565]   U1108.A2                                        Dangerous
[566]   U1108.ZN                                        Dangerous
[567]   U1108.i_12                                      Dangerous
[568]   U1109.A1                                        Dangerous
[569]   U1109.A2                                        Dangerous
[570]   U1109.ZN                                        Dangerous
[571]   U1109.i_12                                      Dangerous
[572]   U1110.A1                                        Dangerous
[573]   U1110.A2                                        Dangerous
[574]   U1110.ZN                                        Dangerous
[575]   U1110.i_24                                      Dangerous
[576]   U1111.A1                                        Dangerous
[577]   U1111.A2                                        Dangerous
[578]   U1111.B                                         Dangerous
[579]   U1111.ZN                                        Dangerous
[580]   U1111.i_0                                       Dangerous
[581]   U1111.i_1                                       Dangerous
[582]   U1112.A1                                        Dangerous
[583]   U1112.A2                                        Dangerous
[584]   U1112.Z                                         Dangerous
[585]   U1112.i_18                                      Dangerous
[586]   U1112.i_19                                      Dangerous
[587]   U1112.i_20                                      Dangerous
[588]   U1112.i_21                                      Dangerous
