=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      May 26 09:58:51 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     43353 (44457)   100500   35      24390       15667           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             1418   0           52053
[2]     SA1          0             2466   0           51005
[3]     Total        0             3884   0           103058


********************************************************************************************

---[ <SA0> ]---------------------------------------------------------------------
[356]   SHIF_STG.U1040.Y                                          Unknown
[357]   SHIF_STG.U1049.A1                                         Unknown
[358]   SHIF_STG.U1049.A2                                         Unknown
[359]   SHIF_STG.U1049.B1                                         Unknown
[360]   SHIF_STG.U1049.Y                                          Unknown
[361]   SHIF_STG.U1059.A1                                         Unknown
[362]   SHIF_STG.U1059.A2                                         Unknown
[363]   SHIF_STG.U1059.B1                                         Unknown
[364]   SHIF_STG.U1059.Y                                          Unknown
[365]   SHIF_STG.U1071.A1                                         Unknown
[366]   SHIF_STG.U1071.A2                                         Unknown
[367]   SHIF_STG.U1071.B1                                         Unknown
[368]   SHIF_STG.U1071.Y                                          Unknown
[369]   SHIF_STG.U1084.A1                                         Unknown
[370]   SHIF_STG.U1084.A2                                         Unknown
[371]   SHIF_STG.U1084.B1                                         Unknown
[372]   SHIF_STG.U1084.Y                                          Unknown
[373]   SHIF_STG.U1094.A1                                         Unknown
[374]   SHIF_STG.U1094.A2                                         Unknown
[375]   SHIF_STG.U1094.B1                                         Unknown
[376]   SHIF_STG.U1094.Y                                          Unknown
[377]   SHIF_STG.U1104.A1                                         Unknown
[378]   SHIF_STG.U1104.A2                                         Unknown
[379]   SHIF_STG.U1104.B1                                         Unknown
[380]   SHIF_STG.U1104.Y                                          Unknown
[381]   SHIF_STG.U1114.A1                                         Unknown
[382]   SHIF_STG.U1114.A2                                         Unknown
[383]   SHIF_STG.U1114.B1                                         Unknown
[384]   SHIF_STG.U1114.Y                                          Unknown
[385]   SHIF_STG.U1122.A1                                         Unknown
[386]   SHIF_STG.U1122.A2                                         Unknown
[387]   SHIF_STG.U1122.B1                                         Unknown
[388]   SHIF_STG.U1122.Y                                          Unknown
[389]   SHIF_STG.U1164.A1                                         Unknown
[390]   SHIF_STG.U1164.A2                                         Unknown
[391]   SHIF_STG.U1164.B1                                         Unknown
[392]   SHIF_STG.U1164.Y                                          Unknown
[393]   SHIF_STG.U1171.A1                                         Unknown
[394]   SHIF_STG.U1171.A2                                         Unknown
[395]   SHIF_STG.U1171.B1                                         Unknown
[396]   SHIF_STG.U1171.Y                                          Unknown
[397]   SHIF_STG.U1181.A1                                         Unknown
[398]   SHIF_STG.U1181.A2                                         Unknown
[399]   SHIF_STG.U1181.B1                                         Unknown
[400]   SHIF_STG.U1181.Y                                          Unknown
[401]   SHIF_STG.U1191.A1                                         Unknown
[402]   SHIF_STG.U1191.A2                                         Unknown
[403]   SHIF_STG.U1191.B1                                         Unknown
[404]   SHIF_STG.U1191.Y                                          Unknown
[405]   SHIF_STG.U1200.A1                                         Unknown
[406]   SHIF_STG.U1200.A2                                         Unknown
[407]   SHIF_STG.U1200.B1                                         Unknown
[408]   SHIF_STG.U1200.Y                                          Unknown
[409]   SHIF_STG.U1209.A1                                         Unknown
[410]   SHIF_STG.U1209.A2                                         Unknown
[411]   SHIF_STG.U1209.B1                                         Unknown
[412]   SHIF_STG.U1209.Y                                          Unknown
[413]   SHIF_STG.U1281.A1                                         Unknown
[414]   SHIF_STG.U1281.A2                                         Unknown
[415]   SHIF_STG.U1281.B1                                         Unknown
[416]   SHIF_STG.U1281.Y                                          Unknown
[417]   SHIF_STG.U1288.A1                                         Unknown
[418]   SHIF_STG.U1288.A2                                         Unknown
[419]   SHIF_STG.U1288.B1                                         Unknown
[420]   SHIF_STG.U1288.Y                                          Unknown
[421]   SHIF_STG.U1300.A1                                         Unknown
[422]   SHIF_STG.U1300.A2                                         Unknown
[423]   SHIF_STG.U1300.B1                                         Unknown
[424]   SHIF_STG.U1300.Y                                          Unknown
[425]   SHIF_STG.U1308.A1                                         Unknown
[426]   SHIF_STG.U1308.A2                                         Unknown
[427]   SHIF_STG.U1308.B1                                         Unknown
[428]   SHIF_STG.U1308.Y                                          Unknown
[429]   SHIF_STG.U1316.A1                                         Unknown
[430]   SHIF_STG.U1316.A2                                         Unknown
[431]   SHIF_STG.U1316.B1                                         Unknown
[432]   SHIF_STG.U1316.Y                                          Unknown
[433]   SHIF_STG.U1324.A1                                         Unknown
[434]   SHIF_STG.U1324.A2                                         Unknown
[435]   SHIF_STG.U1324.B1                                         Unknown
[436]   SHIF_STG.U1324.Y                                          Unknown
[437]   SHIF_STG.U1331.A1                                         Unknown
[438]   SHIF_STG.U1331.A2                                         Unknown
[439]   SHIF_STG.U1331.B1                                         Unknown
[440]   SHIF_STG.U1331.Y                                          Unknown
[441]   SHIF_STG.U1340.A1                                         Unknown
[442]   SHIF_STG.U1340.A2                                         Unknown
[443]   SHIF_STG.U1340.B1                                         Unknown
[444]   SHIF_STG.U1340.Y                                          Unknown
[445]   SHIF_STG.U1350.A1                                         Unknown
[446]   SHIF_STG.U1350.A2                                         Unknown
