Version("1.1")
Date("11/07/25 12:27:12")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:48176}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.dsp_we_word[1:0]";
            3 "DSP.dsp_sc_read_addr[27:0]";
            4 "DSP.dsp_to_sc[7:0]";
            5 "DSP.dsp_sc_data_write_wire[63:0]";
            6 "DSP.dsp_sc_write_addr[13:0]";
            7 "DSP.dsp_sci_we[3:0]";
            8 "DSP.dsp_sci_req[3:0]";
            9 "DSP.state_DSP[1:0]";
        }
    }
}

FaultList{

Total              ND              DD             NC              NO Scope
----- --------------- --------------- -------------- --------------- -----
82242 17337  (21.08%) 36758  (44.69%) 8767  (10.66%) 19380  (23.56%) DSP
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U7014
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6988
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6985
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6977
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6974
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6952
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6933
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6929
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6878
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6808
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6756
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6723
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6667
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6640
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6427
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6345
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6331
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6301
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6213
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6108
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6049
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U6019
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U5324
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U4771
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5504
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5502
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5501
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5499
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5497
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5495
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5493
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5491
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5488
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5486
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5484
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5482
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5480
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5478
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5476
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5474
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5472
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5470
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5468
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5466
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5464
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5462
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5460
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5458
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5456
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5454
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5452
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5450
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5448
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5446
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5443
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5440
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5249
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5247
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5245
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5243
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5241
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5239
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5237
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5235
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5233
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5231
    8     6  (75.00%)     0   (0.00%)    0   (0.00%)     2  (25.00%) -U5227
