=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[362]   U1063.A2                                  Dangerous
[363]   U1063.B1                                  Dangerous
[364]   U1063.B2                                  Dangerous
[365]   U1063.ZN                                  Dangerous
[366]   U1063.i_0                                 Dangerous
[367]   U1063.i_1                                 Dangerous
[368]   U1063.i_2                                 Dangerous
[369]   U1064.I                                   Dangerous
[370]   U1064.ZN                                  Dangerous
[371]   U1065.A1                                  Dangerous
[372]   U1065.A2                                  Dangerous
[373]   U1065.B1                                  Dangerous
[374]   U1065.B2                                  Dangerous
[375]   U1065.ZN                                  Dangerous
[376]   U1065.i_0                                 Dangerous
[377]   U1065.i_1                                 Dangerous
[378]   U1065.i_2                                 Dangerous
[379]   U1066.I                                   Dangerous
[380]   U1066.ZN                                  Dangerous
[381]   U1067.A1                                  Dangerous
[382]   U1067.A2                                  Dangerous
[383]   U1067.B1                                  Dangerous
[384]   U1067.B2                                  Dangerous
[385]   U1067.ZN                                  Dangerous
[386]   U1067.i_0                                 Dangerous
[387]   U1067.i_1                                 Dangerous
[388]   U1067.i_2                                 Dangerous
[389]   U1068.I                                   Dangerous
[390]   U1068.ZN                                  Dangerous
[391]   U1069.I                                   Dangerous
[392]   U1069.ZN                                  Dangerous
[393]   U1070.A1                                  Dangerous
[394]   U1070.A2                                  Dangerous
[395]   U1070.ZN                                  Dangerous
[396]   U1070.i_24                                Dangerous
[397]   U1071.A1                                  Dangerous
[398]   U1071.A2                                  Dangerous
[399]   U1071.B                                   Dangerous
[400]   U1071.ZN                                  Dangerous
[401]   U1071.i_0                                 Dangerous
[402]   U1071.i_1                                 Dangerous
[403]   U1072.A1                                  Dangerous
[404]   U1072.A2                                  Dangerous
[405]   U1072.Z                                   Dangerous
[406]   U1073.A1                                  Dangerous
[407]   U1073.A2                                  Dangerous
[408]   U1073.B1                                  Dangerous
[409]   U1073.B2                                  Dangerous
[410]   U1073.ZN                                  Dangerous
[411]   U1073.i_0                                 Dangerous
[412]   U1073.i_1                                 Dangerous
[413]   U1073.i_2                                 Dangerous
[414]   U1074.I                                   Dangerous
[415]   U1074.ZN                                  Dangerous
[416]   U1075.A1                                  Dangerous
[417]   U1075.A2                                  Dangerous
[418]   U1075.B1                                  Dangerous
[419]   U1075.B2                                  Dangerous
[420]   U1075.ZN                                  Dangerous
[421]   U1075.i_0                                 Dangerous
[422]   U1075.i_1                                 Dangerous
[423]   U1075.i_2                                 Dangerous
[424]   U1076.I                                   Dangerous
[425]   U1076.ZN                                  Dangerous
[426]   U1077.A1                                  Dangerous
[427]   U1077.A2                                  Dangerous
[428]   U1077.B1                                  Dangerous
[429]   U1077.B2                                  Dangerous
[430]   U1077.ZN                                  Dangerous
[431]   U1077.i_0                                 Dangerous
[432]   U1077.i_1                                 Dangerous
[433]   U1077.i_2                                 Dangerous
[434]   U1078.I                                   Dangerous
[435]   U1078.ZN                                  Dangerous
