=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     COMPARATOR   Jul 29 09:29:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]----------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                          | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     78 (78) (0 property flop bits)   0 (0)     1041 (1041)   2255   11      592         312             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[575]   U368.i_1                                  Dangerous
[576]   U368.i_2                                  Dangerous
[577]   U369.I                                    Dangerous
[578]   U369.ZN                                   Dangerous
[579]   U370.A1                                   Dangerous
[580]   U370.A2                                   Dangerous
[581]   U370.B1                                   Dangerous
[582]   U370.B2                                   Dangerous
[583]   U370.ZN                                   Dangerous
[584]   U370.i_0                                  Dangerous
[585]   U370.i_1                                  Dangerous
[586]   U370.i_2                                  Dangerous
[587]   U371.I                                    Dangerous
[588]   U371.ZN                                   Dangerous
[589]   U372.A1                                   Dangerous
[590]   U372.A2                                   Dangerous
[591]   U372.B1                                   Dangerous
[592]   U372.B2                                   Dangerous
[593]   U372.ZN                                   Dangerous
[594]   U372.i_0                                  Dangerous
[595]   U372.i_1                                  Dangerous
[596]   U372.i_2                                  Dangerous
[597]   U373.I                                    Dangerous
[598]   U373.ZN                                   Dangerous
[599]   U374.A1                                   Dangerous
[600]   U374.A2                                   Dangerous
[601]   U374.B1                                   Dangerous
[602]   U374.B2                                   Dangerous
[603]   U374.ZN                                   Dangerous
[604]   U374.i_0                                  Dangerous
[605]   U374.i_1                                  Dangerous
[606]   U374.i_2                                  Dangerous
[607]   U375.I                                    Dangerous
[608]   U375.ZN                                   Dangerous
[609]   U376.I                                    Dangerous
[610]   U376.ZN                                   Dangerous
[611]   U377.A1                                   Dangerous
[612]   U377.A2                                   Dangerous
[613]   U377.B1                                   Dangerous
[614]   U377.B2                                   Dangerous
[615]   U377.ZN                                   Dangerous
[616]   U377.i_0                                  Dangerous
[617]   U377.i_1                                  Dangerous
[618]   U377.i_2                                  Dangerous
[619]   U378.A1                                   Dangerous
