 
****************************************
Report : resources
Design : DSP_Unit_THREAD_POOL_SIZE6_accl_en1_replicate_accl_en1_multithreaded_accl_en0_SPM_NUM4_Addr_Width14_SIMD4_ACCL_NUM6_FU_NUM6_TPS_CEIL3_TPS_BUF_CEIL3_SPM_ADDR_WID3_SIMD_BITS2_Data_Width32_SIMD_Width128
Version: V-2023.12
Date   : Wed Sep 24 15:32:58 2025
****************************************


Resource Report for this hierarchy in file
        /home/g.vilarde/Klessydra/pulpino-klessydra/ips/FU_breakdown/DSP/RTL-DSP_Unit_syn.vhd
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| lt_x_797       | DW_cmp         | width=19   | lt_718_I70_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_798       | DW_cmp         | width=19   | lt_718_I71_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_799       | DW_cmp         | width=19   | lt_718_I72_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_800       | DW_cmp         | width=19   | lt_718_I73_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_801       | DW_cmp         | width=19   | lt_718_I74_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_802       | DW_cmp         | width=19   | lt_718_I75_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_803       | DW_cmp         | width=19   | lt_718_I76_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_804       | DW_cmp         | width=19   | lt_718_I77_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_805       | DW_cmp         | width=19   | lt_718_I78_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_806       | DW_cmp         | width=19   | lt_718_I79_G2 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_807       | DW_cmp         | width=19   | lt_718_I80_G2 (RTL-DSP_Unit_syn.vhd:718) |
