=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Jun 05 05:29:06 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1854 (1854) (0 property flop bits)   0 (0)     78854 (80805)   182896   35      44206       28722           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2048   0           96452
[2]     SA1          0             3978   0           94522
[3]     Total        0             6026   0           190974


********************************************************************************************

---[ <SA0> ]----------------------------------------------------------------------
[412]   SHIF_STG.U1484.Y                                           Unknown
[413]   SHIF_STG.U1532.A1                                          Unknown
[414]   SHIF_STG.U1532.A2                                          Unknown
[415]   SHIF_STG.U1532.B1                                          Unknown
[416]   SHIF_STG.U1532.Y                                           Unknown
[417]   SHIF_STG.U1677.A1                                          Unknown
[418]   SHIF_STG.U1677.A2                                          Unknown
[419]   SHIF_STG.U1677.B1                                          Unknown
[420]   SHIF_STG.U1677.Y                                           Unknown
[421]   SHIF_STG.U1685.A1                                          Unknown
[422]   SHIF_STG.U1685.A2                                          Unknown
[423]   SHIF_STG.U1685.B1                                          Unknown
[424]   SHIF_STG.U1685.Y                                           Unknown
[425]   SHIF_STG.U1720.A1                                          Unknown
[426]   SHIF_STG.U1720.A2                                          Unknown
[427]   SHIF_STG.U1720.B1                                          Unknown
[428]   SHIF_STG.U1720.Y                                           Unknown
[429]   SHIF_STG.U1733.A1                                          Unknown
[430]   SHIF_STG.U1733.A2                                          Unknown
[431]   SHIF_STG.U1733.B1                                          Unknown
[432]   SHIF_STG.U1733.Y                                           Unknown
[433]   SHIF_STG.U1741.A1                                          Unknown
[434]   SHIF_STG.U1741.A2                                          Unknown
[435]   SHIF_STG.U1741.B1                                          Unknown
[436]   SHIF_STG.U1741.Y                                           Unknown
[437]   SHIF_STG.U1747.A1                                          Unknown
[438]   SHIF_STG.U1747.A2                                          Unknown
[439]   SHIF_STG.U1747.B1                                          Unknown
[440]   SHIF_STG.U1747.Y                                           Unknown
[441]   SHIF_STG.U1756.A1                                          Unknown
[442]   SHIF_STG.U1756.A2                                          Unknown
[443]   SHIF_STG.U1756.B1                                          Unknown
[444]   SHIF_STG.U1756.Y                                           Unknown
[445]   SHIF_STG.U1766.A1                                          Unknown
[446]   SHIF_STG.U1766.A2                                          Unknown
[447]   SHIF_STG.U1766.B1                                          Unknown
[448]   SHIF_STG.U1766.Y                                           Unknown
[449]   SHIF_STG.U1779.A1                                          Unknown
[450]   SHIF_STG.U1779.A2                                          Unknown
[451]   SHIF_STG.U1779.B1                                          Unknown
[452]   SHIF_STG.U1779.Y                                           Unknown
[453]   SHIF_STG.U1789.A1                                          Unknown
[454]   SHIF_STG.U1789.A2                                          Unknown
[455]   SHIF_STG.U1789.B1                                          Unknown
[456]   SHIF_STG.U1789.Y                                           Unknown
[457]   SHIF_STG.U1799.A1                                          Unknown
[458]   SHIF_STG.U1799.A2                                          Unknown
[459]   SHIF_STG.U1799.B1                                          Unknown
[460]   SHIF_STG.U1799.Y                                           Unknown
[461]   SHIF_STG.U1809.A1                                          Unknown
[462]   SHIF_STG.U1809.A2                                          Unknown
[463]   SHIF_STG.U1809.B1                                          Unknown
[464]   SHIF_STG.U1809.Y                                           Unknown
[465]   SHIF_STG.U1820.A1                                          Unknown
[466]   SHIF_STG.U1820.A2                                          Unknown
[467]   SHIF_STG.U1820.B1                                          Unknown
[468]   SHIF_STG.U1820.Y                                           Unknown
[469]   SHIF_STG.U1829.A1                                          Unknown
[470]   SHIF_STG.U1829.A2                                          Unknown
[471]   SHIF_STG.U1829.B1                                          Unknown
[472]   SHIF_STG.U1829.Y                                           Unknown
[473]   SHIF_STG.U1837.A1                                          Unknown
[474]   SHIF_STG.U1837.A2                                          Unknown
[475]   SHIF_STG.U1837.B1                                          Unknown
[476]   SHIF_STG.U1837.Y                                           Unknown
[477]   SHIF_STG.U1840.A1                                          Unknown
[478]   SHIF_STG.U1840.A2                                          Unknown
[479]   SHIF_STG.U1840.B1                                          Unknown
[480]   SHIF_STG.U1840.Y                                           Unknown
[481]   SHIF_STG.U1857.A1                                          Unknown
[482]   SHIF_STG.U1857.A2                                          Unknown
[483]   SHIF_STG.U1857.B1                                          Unknown
[484]   SHIF_STG.U1857.Y                                           Unknown
[485]   SHIF_STG.U1859.A1                                          Unknown
[486]   SHIF_STG.U1859.A2                                          Unknown
